Q1-State,Q2-County,Q3-2017,Q4-2018,Q5-2019,Q6-2020
Texas,Brazoria,14867792,15386690,15115082,15032084
Texas,Brazos,9124809,9502826,9739560,9620229
Texas,Brewster,332492,356924,368162,369787
Texas,Briscoe,96724,105058,104986,95319
Texas,Brooks,368686,352634,342481,330654
Texas,Brown,1308890,1316704,1316807,1293877
Texas,Burleson,1282825,1551554,1705424,1495260
Texas,Burnet,1396173,1437725,1509642,1530796
Texas,Caldwell,853827,907246,912817,924603
Texas,Calhoun,2768384,3370892,3458801,3308408
Texas,Callahan,257316,290508,294710,294010
Texas,Cameron,9679631,9839678,10117293,10077503
Texas,Camp,348146,348136,320178,333732
Texas,Carson,968991,986988,1030687,955220
Texas,Cass,738273,788018,814241,810664
Texas,Castro,919166,826892,787190,735191
Texas,Chambers,2797061,2853321,2448652,2431029
Texas,Cherokee,1364127,1341057,1341960,1389321
Texas,Childress,197306,200681,206766,223431
Texas,Clay,245872,249093,255186,258930
Texas,Cochran,406522,337161,404276,393509
Texas,Coke,132047,134974,126391,125001
Texas,Coleman,211220,215389,218520,219545
Texas,Collin,59054882,62749137,64095670,65098585
Texas,Collingsworth,74195,75703,75877,74745
Texas,Colorado,854004,802009,833225,810839
Texas,Comal,5312858,5568360,5856949,6032698
Texas,Comanche,367260,366649,412462,459602
Texas,Concho,104334,109370,120646,137765
Texas,Cooke,2880966,2551591,2325818,2162701
Texas,Coryell,1522536,1515447,1479194,1465314
Texas,Cottle,97405,91007,73373,79331
Texas,Crane,1204375,1025510,1152039,1026365
Texas,Crockett,1738084,1344759,1282882,1242701
Texas,Crosby,306116,290580,333870,308163
Texas,Culberson,1467437,1507337,2036365,2210531
Texas,Dallam,882432,765482,764277,725495
Texas,Dallas,228808813,236981677,246512762,239705547
Texas,Dawson,852083,909051,849434,835144
Texas,Deaf Smith,1835251,1746282,1578133,1470419
Texas,Delta,109830,99319,100862,103743
Texas,Denton,30341121,31495454,33282512,34594470
Texas,DeWitt,7481154,6586451,6501016,5046274
Texas,Dickens,139218,138575,134036,126730
Texas,Dimmit,5669044,5432252,5917527,4221673
Texas,Donley,147141,153317,140676,140226
Texas,Duval,404315,412608,401432,364462
Texas,Eastland,647276,814348,839457,763674
Texas,Ector,11178384,12904779,13506926,11190764
Texas,Edwards,100919,97043,83509,95546
Texas,Ellis,5401006,5807118,5939989,6059144
Texas,El Paso,27667837,28494753,29805366,29540504
Texas,Erath,1348865,1418352,1501302,1503316
Texas,Falls,352288,367577,374175,397223
Texas,Fannin,729577,808070,843912,868567
Texas,Fayette,1715777,1654650,1688455,1620725
Texas,Fisher,210591,275851,262415,280304
Texas,Floyd,312384,297047,347472,290510
Texas,Foard,32216,45577,57242,109354
Texas,Fort Bend,25501334,27133965,28167815,27854681
Texas,Franklin,443767,444896,415703,430682
Texas,Freestone,1802683,1286934,1326617,1284749
Texas,Frio,1409808,1477657,1429979,1232086
Texas,Gaines,3535454,3149967,3357767,2976855
Texas,Galveston,15570739,15641021,16276531,16310246
Texas,Garza,364411,339616,377387,313169
Texas,Gillespie,900648,946694,996822,995125
Texas,Glasscock,4176315,5069065,5864146,4879207
Texas,Goliad,341456,334815,327035,291294
Texas,Gonzales,4888990,4730757,5246041,4155550
Texas,Gray,1046952,1061843,1049981,979058
Texas,Grayson,4517559,4751598,4794754,4778611
Texas,Gregg,6891953,7271119,7368823,6672943
Texas,Grimes,1055186,1084945,1071838,1008055
Texas,Guadalupe,5359557,5538906,7056072,7475402
Texas,Hale,1163476,1189314,1325975,1301424
Texas,Hall,76383,65931,87363,79476
Texas,Hamilton,220684,231843,240797,260759
Texas,Hansford,780078,697902,673167,576765
Texas,Hardeman,194030,202492,201599,239058
Texas,Hardin,1340594,1390869,1344905,1265880
Texas,Harris,367138880,376949835,373087121,359650873
Texas,Harrison,4417657,4498912,4383225,4293290
Texas,Hartley,1061141,956699,920853,820817
Texas,Haskell,263856,313234,387575,371494
Texas,Hays,6302850,6734880,7222279,7259008
Texas,Hemphill,1117862,917346,916225,780007
Texas,Henderson,1661215,1656474,1730667,1795455
Texas,Hidalgo,19028886,19468939,19944793,19817948
Texas,Hill,876123,936602,955514,950932
Texas,Hockley,2372625,2335107,2428387,2013359
Texas,Hood,2080954,2262376,2429352,2147967
Texas,Hopkins,1388115,1477385,1564821,1522055
Texas,Houston,952620,972759,993323,1006784
Texas,Howard,5359814,6766396,8363684,7463096
Texas,Hudspeth,159625,179381,180132,183240
Texas,Hunt,4092195,4245870,4444498,3791069
Texas,Hutchinson,7963716,6710439,7090427,7465837
Texas,Irion,1830605,1544390,1976121,1724602
Texas,Jack,679450,724116,580131,548253
Texas,Jackson,647196,694029,748894,674231
Texas,Jasper,961228,974354,959790,921514
Texas,Jeff Davis,73313,77052,77177,82230
Texas,Jefferson,20347594,20886563,22059368,20688536
Texas,Jim Hogg,204379,197858,201787,205106
Texas,Jim Wells,1428729,1628474,1631965,1235250
Texas,Johnson,6317234,6268076,6449549,6443442
Texas,Jones,424897,414256,426608,427890
Texas,Karnes,12500167,11898936,12645963,9430808
Texas,Kaufman,3092495,3244135,3450214,3578188
Texas,Kendall,1814195,1935457,2005319,1900620
Texas,Kenedy,289013,286875,354635,270987
Texas,Kent,429457,386920,373545,285089
Texas,Kerr,1726467,1844913,1930054,1921027
Texas,Kimble,128835,143311,141558,143089
Texas,King,232993,206803,190305,138739
Texas,Kinney,113289,100885,105794,107087
Texas,Kleberg,1073969,1032654,1085078,1066629
Texas,Knox,151469,160069,154983,164207
Texas,Lamar,2366710,2525512,2486515,2441823
Texas,Lamb,819367,763958,743666,724220
Texas,Lampasas,426626,443835,464637,475020
Texas,La Salle,7355349,7111750,7656815,6816675
Texas,Lavaca,1458479,1519141,1654694,1486598
Texas,Lee,939524,916008,1061371,906215
Texas,Leon,962897,931998,919057,895407
Texas,Liberty,1885491,2058985,2105156,2057299
Texas,Limestone,1389572,1499397,1537845,1375280
Texas,Lipscomb,881376,784731,837531,761579
Texas,Live Oak,2122362,1943844,2483608,2012592
Texas,Llano,681330,673119,688463,711981
Texas,Loving,6072790,7889531,9962411,8852569
Texas,Lubbock,12059513,12388246,12570427,12345877
Texas,Lynn,204738,226271,281316,328073
Texas,McCulloch,360452,379645,337888,301902
Texas,McLennan,11296371,11673697,11848374,11394096
Texas,McMullen,3826026,3323269,3473650,2496801
Texas,Madison,873118,803436,824426,795861
Texas,Marion,252151,262377,263754,263934
Texas,Martin,7052016,9182189,13387119,11631421
Texas,Mason,120841,129245,127301,123837
Texas,Matagorda,2111878,1984714,2130224,2158531
Texas,Maverick,1498143,1589461,1608240,1537391
Texas,Medina,908241,955797,986697,1002025
Texas,Menard,50511,54754,53363,53745
Texas,Midland,22083897,26448177,30777357,27249485
Texas,Milam,903367,569848,611092,568603
Texas,Mills,143244,174631,190540,201806
Texas,Mitchell,515192,472913,459362,436932
Texas,Montague,1086777,971272,965999,876047
Texas,Montgomery,24616453,27031630,27859472,27612881
Texas,Moore,2172830,2658965,3328078,3053944
Texas,Morris,630326,672151,657428,630144
Texas,Motley,27663,29865,30896,38411
Texas,Nacogdoches,2610433,2630155,2556789,2536876
Texas,Navarro,1401313,1505384,1520866,1481373
Texas,Newton,445004,484212,516384,483167
Texas,Nolan,938081,922571,973510,984130
Texas,Nueces,18350464,19136531,19935184,18938817
Texas,Ochiltree,1527744,1468386,1398079,1134754
Texas,Oldham,359692,381143,336304,378965
Texas,Orange,3357685,3408727,3286754,3207959
Texas,Palo Pinto,990507,1060239,1079213,999323
Texas,Panola,2662152,2630185,3033146,3088166
Texas,Parker,4141384,4342338,4354517,4402190
Texas,Parmer,1108079,1050100,1032223,1009325
Texas,Pecos,2695629,3114728,4001420,3640749
Texas,Polk,1221731,1217138,1265711,1271294
Texas,Potter,7378525,7690110,7901598,7693494
Texas,Presidio,227188,241518,238039,248095
Texas,Rains,178984,190531,197778,208186
Texas,Randall,3551220,3575846,3637769,3675465
Texas,Reagan,5299988,5477054,6455797,5259035
Texas,Real,63388,65432,66603,67622
Texas,Red River,268380,268980,288883,314904
Texas,Reeves,8373518,11453664,16109739,12880078
Texas,Refugio,497970,478824,484000,414289
Texas,Roberts,1204216,902706,942163,822998
Texas,Robertson,3172283,2882044,3046148,3153135
Texas,Rockwall,2981995,3209845,3483511,3571496
Texas,Runnels,303778,311906,318513,309775
Texas,Rusk,2747452,2777706,2769577,2747437
Texas,Sabine,214351,223582,216020,226682
Texas,San Augustine,865264,891620,1212939,1177440
Texas,San Jacinto,319381,326856,356020,372988
Texas,San Patricio,2191281,2267866,2336277,2616235
Texas,San Saba,160768,175161,179454,159144
Texas,Schleicher,168925,161512,190128,193064
Texas,Scurry,2463242,2417599,2404029,2079736
Texas,Shackelford,261942,281783,271172,239726
Texas,Shelby,1435859,1489858,1441324,1329658
Texas,Sherman,727136,623151,597860,513960
Texas,Smith,10037845,10520805,10889082,10703018
Texas,Somervell,1132370,1223629,1170941,1201072
Texas,Starr,1397051,1352247,1387854,1443062
Texas,Stephens,542704,538849,560642,532372
Texas,Sterling,326957,308421,320490,321389
Texas,Stonewall,324256,288381,242357,182674
Texas,Sutton,395839,378508,350621,298399
Texas,Swisher,657370,670442,571428,464291
Texas,Tarrant,103724310,108409796,111665897,106112067
Texas,Taylor,5588268,5866091,6079124,6311829
Texas,Terrell,203139,153783,160459,141616
Texas,Terry,841381,783007,777079,686699
Texas,Throckmorton,159268,156319,115144,102212
Texas,Titus,2180197,1850520,1769032,1729882
Texas,Tom Green,4937113,5364497,5653698,5512365
Texas,Travis,103827155,109829318,114678235,115792021
Texas,Trinity,227087,226716,238379,242243
Texas,Tyler,413261,401236,417686,438022
Texas,Upshur,810090,803147,855116,843333
Texas,Upton,6785955,6660653,8291570,7523215
Texas,Uvalde,835269,816554,869584,865667
Texas,Val Verde,1562909,1555230,1594939,1571222
Texas,Van Zandt,1105177,1129397,1128834,1152647
Texas,Victoria,3944993,4145968,4105372,3755181
Texas,Walker,1925602,1964298,1991487,1992807
Texas,Waller,2187598,2307370,2598170,2629926
Texas,Ward,3479874,4455701,5928199,4435082
Texas,Washington,1475050,1636728,1752390,1717100
Texas,Webb,12708793,12016656,12562847,12152308
Texas,Wharton,1722294,1730007,1936733,1914285
Texas,Wheeler,1237277,1006986,912127,821302
Texas,Wichita,5153944,5247095,5480299,5257261
Texas,Wilbarger,691324,761120,797944,717987
Texas,Willacy,465028,534328,513654,519082
Texas,Williamson,19454645,20636198,22043948,22642842
Texas,Wilson,969508,1048305,1193728,1113996
Texas,Winkler,1318582,1841329,2394287,2180519
Texas,Wise,3397039,3311339,3438374,3222100
Texas,Wood,1753941,1727364,1731404,1707360
Texas,Yoakum,3276921,3184302,3426395,2674793
Texas,Young,896729,880075,874240,830728
Texas,Zapata,896599,853822,879421,759737
Texas,Zavala,1016893,904312,1039023,909302
Utah,Beaver,376708,337397,419707,386880
Utah,Box Elder,2149418,2176025,2306970,2363802
Utah,Cache,4738827,5028835,5241528,5318251
Utah,Carbon,1016880,1033391,1138829,1142554
Utah,Daggett,158504,174874,132768,120812
Utah,Davis,13061671,13833407,14303118,14549508
Utah,Duchesne,1164258,1116708,1155080,1101578
Utah,Emery,896423,853705,932010,892903
Utah,Garfield,239300,239280,250021,244793
Utah,Grand,540098,572075,609264,564401
Utah,Iron,1425431,1576535,1701006,1723245
Utah,Juab,380955,447232,482760,478906
Utah,Kane,306036,315980,319389,327254
Utah,Millard,807956,785465,828757,826285
Utah,Morgan,259745,278684,285871,288741
Utah,Piute,81194,85152,71661,60477
Utah,Rich,146114,151303,148732,143047
Utah,Salt Lake,78696986,83248540,86713524,86272939
Utah,San Juan,505499,483379,506988,453246
Utah,Sanpete,786471,864661,816725,847901
Utah,Sevier,1139066,1159515,1187481,1193005
Utah,Summit,2996954,3138999,3150354,2934507
Utah,Tooele,1655372,1710492,1786767,1904150
Utah,Uintah,1922518,1829419,1860884,1671998
Utah,Utah,22691691,24827577,26983699,27406079
Utah,Wasatch,857261,878409,969549,907763
Utah,Washington,5441977,5810996,6041044,6111685
Utah,Wayne,94018,104526,108355,107599
Utah,Weber,9585341,9935880,10347584,10656466
Vermont,Addison,1541553,1564126,1579129,1512084
Vermont,Bennington,1502213,1528459,1543050,1450989
Vermont,Caledonia,1003149,999735,1005625,995643
Vermont,Chittenden,10365454,10490791,10632821,10104070
Vermont,Essex,140965,138864,138075,139044
Vermont,Franklin,1909215,1917373,1963786,1935667
Vermont,Grand Isle,187693,178245,188046,177350
Vermont,Lamoille,1033607,1042062,1018478,953731
Vermont,Orange,745557,752892,740394,718858
Vermont,Orleans,952665,956840,979997,955054
Vermont,Rutland,2384413,2351263,2352696,2210718
Vermont,Washington,3300306,3295636,3367064,3299058
Vermont,Windham,2095079,2065680,2052930,1941737
Vermont,Windsor,2346523,2344668,2354202,2267880
Virginia,Accomack,1507076,1557549,1582822,1656169
Virginia,Amelia,303986,261259,268156,256072
Virginia,Amherst,745004,758910,735759,709618
Virginia,Appomattox,264832,268322,262388,281105
Virginia,Arlington,30886548,32080964,32930931,32373194
Virginia,Bath,197323,183505,217236,197150
Virginia,Bedford,1814700,1843730,1811923,1749888
Virginia,Bland,193882,207546,205737,202658
Virginia,Botetourt,1099870,1139498,1156685,1108120
Virginia,Brunswick,750008,716114,715542,772591
Virginia,Buchanan,1021166,1054989,1099109,996527
Virginia,Buckingham,478315,503265,487257,504888
Virginia,Caroline,685387,688540,673499,700613
Virginia,Charles City,190940,193504,200759,205215
Virginia,Charlotte,243589,234445,227662,215249
Virginia,Chesterfield,14044803,14244887,14348174,14108497
Virginia,Clarke,451423,451177,442927,410669
Virginia,Craig,89805,93070,91025,87272
Virginia,Culpeper,1581018,1672951,1679918,1659574
Virginia,Cumberland,152065,142113,138125,131280
Virginia,Dickenson,473679,485317,515326,592527
Virginia,Essex,343694,347580,351770,332796
Virginia,Fauquier,2449747,2595398,2516311,2481178
Virginia,Floyd,327922,355542,335294,323558
Virginia,Fluvanna,846416,813178,814184,762339
Virginia,Franklin,1387398,1410645,1387760,1368696
Virginia,Giles,446869,463204,445583,468478
Virginia,Gloucester,784083,800164,811148,797129
Virginia,Goochland,2081059,2032587,2273664,2366289
Virginia,Grayson,239468,271543,260007,246780
Virginia,Greene,419126,421789,421735,402655
Virginia,Halifax,1197978,1167507,1089647,1042197
Virginia,Hanover,5138376,5262917,5378892,5219160
Virginia,Henrico,25383730,26168420,26686265,25429567
Virginia,Highland,72324,67916,68674,67698
Virginia,Isle of Wight,1397117,1371264,1267956,1268654
Virginia,King and Queen,126588,127197,127542,132230
Virginia,King George,1737283,1764056,1822792,1863791
Virginia,King William,451799,458233,469472,465660
Virginia,Lancaster,403444,409234,409913,392674
Virginia,Lee,372803,375876,367913,362390
Virginia,Loudoun,25098934,26619370,27268208,25471303
Virginia,Louisa,2024398,2052049,1983012,1985543
Virginia,Lunenburg,211262,211136,210841,223151
Virginia,Madison,321880,338196,330903,315583
Virginia,Mathews,183182,193611,199538,190398
Virginia,Mecklenburg,884265,896249,901123,891154
Virginia,Middlesex,347772,349040,345289,325568
Virginia,Nelson,460559,487520,482176,473468
Virginia,New Kent,433804,458223,496686,529313
Virginia,Northampton,448568,453547,449593,513723
Virginia,Northumberland,354856,377891,406156,400948
Virginia,Nottoway,480718,463504,471813,458838
Virginia,Orange,994156,1040893,1050074,1030798
Virginia,Page,584584,575950,595270,567827
Virginia,Patrick,396887,383086,384345,365421
Virginia,Powhatan,703233,712483,738854,709355
Virginia,Prince Edward,639378,640226,651059,639857
Virginia,Pulaski,1077476,1215552,1255179,1157014
Virginia,Rappahannock,317178,297245,294664,279438
Virginia,Richmond,253726,270061,265206,265634
Virginia,Russell,587726,635636,616876,586286
Virginia,Scott,354916,379429,377405,356630
Virginia,Shenandoah,1445101,1562105,1641286,1608893
Virginia,Smyth,925388,955623,947116,892718
Virginia,Stafford,4940383,5131716,5183674,5232767
Virginia,Surry,1089133,992394,1006495,1043411
Virginia,Sussex,322710,320191,340831,336774
Virginia,Tazewell,1145683,1182308,1133180,1068945
Virginia,Warren,1605543,1566361,1620127,1604534
Virginia,Westmoreland,411653,428106,432216,452358
Virginia,Wythe,1531448,1453974,1307389,1174737
Virginia,Alexandria,13547155,13665514,13368490,12717905
Virginia,Chesapeake,8978339,9209104,9344726,9245880
Virginia,Hampton,6108233,5986038,6044414,5961992
Virginia,Newport News,11220606,11742199,12114711,11074397
Virginia,Norfolk,19384990,18235054,17772146,16538166
Virginia,Portsmouth,5277141,5189970,5472530,5397171
Virginia,Richmond,19920987,20325610,20694025,20351928
Virginia,Roanoke,6407459,6449434,6377991,6220609
Virginia,Suffolk,3279468,3355724,3506623,3596378
Virginia,Virginia Beach,19643682,19355916,19685107,19347452
Virginia,Albemarle + Charlottesville,10396661,10712267,10735480,10310276
Virginia,Alleghany + Covington,768153,788214,811717,774533
Virginia,"Augusta, Staunton + Waynesboro",4617952,4670749,4707372,4609829
Virginia,Campbell + Lynchburg,6317663,6714874,6754237,6289917
Virginia,Carroll + Galax,877480,877994,849492,837959
Virginia,"Dinwiddie, Colonial Heights + Petersburg",2524565,2578009,2574955,2517728
Virginia,"Fairfax, Fairfax City + Falls Church",104464033,108747641,113780472,111485438
Virginia,Frederick + Winchester,5773640,5920638,6050372,6049511
Virginia,Greensville + Emporia,701307,755693,1206961,1221340
Virginia,Henry + Martinsville,1925139,1943566,2009153,1989417
Virginia,James City + Williamsburg,4625884,4684043,4746291,4448308
Virginia,Montgomery + Radford,4743049,4910342,4763167,4629063
Virginia,Pittsylvania + Danville,3085182,3157783,3166653,3074152
Virginia,Prince George + Hopewell,3570328,3545937,3581002,3570131
Virginia,"Prince William, Manassas + Manassas Park",18365274,18763606,19239417,19098906
Virginia,Roanoke + Salem,5546460,5660474,5554460,5348757
Virginia,"Rockbridge, Buena Vista + Lexington",1135712,1123561,1168656,1110828
Virginia,Rockingham + Harrisonburg,7010731,7187876,7340930,7277406
Virginia,Southampton + Franklin,651726,658918,723195,705192
Virginia,Spotsylvania + Fredericksburg,5485829,5653892,5705526,5542813
Virginia,Washington + Bristol,3150315,3307188,3191437,3060030
Virginia,Wise + Norton,1476296,1495564,1391533,1319560
Virginia,York + Poquoson,2382028,2437228,2495154,2353079
Washington,Adams,762229,878912,923667,979179
Washington,Asotin,590842,602739,610859,607737
Washington,Benton,10402338,10603373,10969021,10720964
Washington,Chelan,4062732,4162104,4175503,4106130
Washington,Clallam,2182802,2265142,2281222,2242717
Washington,Clark,18115389,19227734,19842592,19525979
Washington,Columbia,359502,344853,357570,324842
Washington,Cowlitz,4176237,4360515,4585917,4467111
Washington,Douglas,1755422,1758799,1640444,1677969
Washington,Ferry,190981,180489,179214,190734
Washington,Franklin,3376166,3569077,3725217,3681256
Washington,Garfield,124539,139978,143783,151519
Washington,Grant,5603339,5602664,5218536,5886898
Washington,Grays Harbor,2162210,2210750,2254969,2112178
Washington,Island,2942919,2882675,2940564,2955560
Washington,Jefferson,895004,947976,983896,963548
Washington,King,254627261,277727786,293178141,297082414
Washington,Kitsap,10806173,11095961,11275707,11337915
Washington,Kittitas,1510639,1577770,1633671,1601391
Washington,Klickitat,1158963,1339667,1583910,1442939
Washington,Lewis,2828956,2971704,3128591,2923791
Washington,Lincoln,389026,415068,432953,473108
Washington,Mason,1365200,1497158,1476139,1422016
Washington,Okanogan,1429356,1372123,1441381,1449508
Washington,Pacific,634647,647232,661546,632682
Washington,Pend Oreille,534667,549006,532752,458217
Washington,Pierce,37109502,38833422,40008149,39229897
Washington,San Juan,697858,726626,716828,674873
Washington,Skagit,6946349,7054651,7115536,6734062
Washington,Skamania,271806,269602,245424,253310
Washington,Snohomish,43906371,45496815,45380868,42223516
Washington,Spokane,21999228,23143399,23798009,23271174
Washington,Stevens,976329,989860,990813,998980
Washington,Thurston,11559502,12276631,12511137,12241719
Washington,Wahkiakum,76223,79086,83173,84479
Washington,Walla Walla,3252470,3284986,3245485,3012455
Washington,Whatcom,11425803,12410945,13629262,12901131
Washington,Whitman,2205617,2364898,2320680,2287089
Washington,Yakima,9457958,9936789,10043074,10008896
West Virginia,Barbour,411957,399913,418599,409861
West Virginia,Berkeley,3371132,3572204,3568921,3531399
West Virginia,Boone,711143,707611,670569,599585
West Virginia,Braxton,292118,282435,286726,273947
West Virginia,Brooke,939128,949357,1023404,988117
West Virginia,Cabell,4378787,4486653,4519107,4343283
West Virginia,Calhoun,114245,111631,111903,106224
West Virginia,Clay,122949,116354,119758,117988
West Virginia,Doddridge,1309015,1157683,1478549,1952356
West Virginia,Fayette,1025480,1025299,1024217,926824
West Virginia,Gilmer,183579,181069,183047,176909
West Virginia,Grant,451963,416040,391569,416204
West Virginia,Greenbrier,1053766,1099655,1073935,996765
West Virginia,Hampshire,377843,379963,379825,375423
West Virginia,Hancock,1109261,1096534,1108227,1089022
West Virginia,Hardy,442536,476659,526454,509266
West Virginia,Harrison,4114388,4385714,4377636,4146374
West Virginia,Jackson,801532,1442786,944867,846353
West Virginia,Jefferson,1514903,1573228,1609123,1503131
West Virginia,Kanawha,9818757,9885663,9747858,9254896
West Virginia,Lewis,596603,676473,665325,548543
West Virginia,Lincoln,279913,240961,246754,235360
West Virginia,Logan,1218179,1304274,1306305,1167130
West Virginia,McDowell,589067,570668,586172,530127
West Virginia,Marion,2259493,2234842,2268371,2094660
West Virginia,Marshall,2775653,2993493,2848741,2637314
West Virginia,Mason,667617,641520,714968,702117
West Virginia,Mercer,1554036,1538344,1548261,1469976
West Virginia,Mineral,671133,704774,726940,705451
West Virginia,Mingo,707188,720000,661582,500667
West Virginia,Monongalia,6341218,6248899,6116729,5932568
West Virginia,Monroe,189012,167417,169047,174239
West Virginia,Morgan,286505,296600,302883,283461
West Virginia,Nicholas,585013,593144,583478,554836
West Virginia,Ohio,3576622,3599197,3420746,3297437
West Virginia,Pendleton,160626,133792,138189,127906
West Virginia,Pleasants,497696,466682,422536,405139
West Virginia,Pocahontas,245739,237198,241787,231483
West Virginia,Preston,692030,710510,683202,664942
West Virginia,Putnam,2480992,2710304,2592552,2520702
West Virginia,Raleigh,2725348,2791925,2889597,2723082
West Virginia,Randolph,785910,804026,817551,771061
West Virginia,Ritchie,647371,647212,731336,786260
West Virginia,Roane,265661,276478,282233,269427
West Virginia,Summers,194613,187546,190107,183476
West Virginia,Taylor,522240,513694,575134,553823
West Virginia,Tucker,308397,305014,292143,291391
West Virginia,Tyler,668961,597849,681423,779077
West Virginia,Upshur,696412,678415,700279,664516
West Virginia,Wayne,923473,961844,961678,918008
West Virginia,Webster,149537,153015,154672,139930
West Virginia,Wetzel,916144,830176,977845,1495328
West Virginia,Wirt,62888,67641,61369,58415
West Virginia,Wood,3196403,3198632,3115737,2975660
West Virginia,Wyoming,592208,605605,551634,559985
Wisconsin,Adams,505872,516924,532566,545866
Wisconsin,Ashland,663580,657888,674573,627256
Wisconsin,Barron,1944367,2074333,1980728,1933072
Wisconsin,Bayfield,398512,417756,419615,396347
Wisconsin,Brown,16365318,16938177,16948230,16148050
Wisconsin,Buffalo,442365,504924,448784,482086
Wisconsin,Burnett,483545,476147,485969,475245
Wisconsin,Calumet,1478651,1511348,1544541,1504719
Wisconsin,Chippewa,2493814,2587086,2698020,2672314
Wisconsin,Clark,1343432,1396691,1418479,1293271
Wisconsin,Columbia,2617204,2643395,2598307,2540063
Wisconsin,Crawford,704961,692081,679143,654376
Wisconsin,Dane,38090057,39615075,40879006,39762409
Wisconsin,Dodge,3334601,3350475,3356258,3328032
Wisconsin,Door,1172655,1209599,1225342,1170157
Wisconsin,Douglas,1956738,1709864,1730178,1666269
Wisconsin,Dunn,1636615,1674493,1698717,1703772
Wisconsin,Eau Claire,5657612,5808447,5920439,5675015
Wisconsin,Florence,120028,113876,134261,118284
Wisconsin,Fond du Lac,4714795,4776844,4844569,4589060
Wisconsin,Forest,301185,293540,283358,258107
Wisconsin,Grant,2091972,2190685,2190118,2106613
Wisconsin,Green,1555960,1632332,1670052,1630984
Wisconsin,Green Lake,581672,599463,578742,577433
Wisconsin,Iowa,956096,1009725,1022840,1037643
Wisconsin,Iron,167972,157687,163936,153000
Wisconsin,Jackson,815773,871881,810108,754391
Wisconsin,Jefferson,3279133,3198147,3263417,3111175
Wisconsin,Juneau,848965,843077,870455,836336
Wisconsin,Kenosha,6439256,6412786,6404892,6360934
Wisconsin,Kewaunee,878435,863192,866477,756928
Wisconsin,La Crosse,6603861,6762734,6859464,6574368
Wisconsin,Lafayette,555699,588323,572128,597346
Wisconsin,Langlade,709157,704819,701086,679209
Wisconsin,Lincoln,1318881,1249895,1231413,1117980
Wisconsin,Manitowoc,3749943,3650283,3690268,3554159
Wisconsin,Marathon,7578639,7802879,8151531,7774222
Wisconsin,Marinette,1790027,1866461,1866945,1801756
Wisconsin,Marquette,382355,402349,404332,384874
Wisconsin,Menominee,141753,143357,149457,134353
Wisconsin,Milwaukee,51341190,52470488,52958592,50038904
Wisconsin,Monroe,2127746,2210658,2140411,2052068
Wisconsin,Oconto,953238,973009,1001617,947095
Wisconsin,Oneida,1513520,1604047,1560208,1505301
Wisconsin,Outagamie,11114102,11566243,11839511,11331407
Wisconsin,Ozaukee,4842185,4874533,4981660,4788860
Wisconsin,Pepin,252227,253603,258933,270884
Wisconsin,Pierce,1055322,1130772,1082541,1095230
Wisconsin,Polk,1433956,1434097,1464080,1431579
Wisconsin,Portage,3595791,3733464,3871435,3699930
Wisconsin,Price,585794,564832,574815,541486
Wisconsin,Racine,7314828,7416481,7328811,7079117
Wisconsin,Richland,710590,682022,731935,667432
Wisconsin,Rock,6203773,6554894,6847338,6699177
Wisconsin,Rusk,541289,516929,531227,497322
Wisconsin,St. Croix,3507859,3608407,3641553,3600070
Wisconsin,Sauk,3304303,3408211,3581017,3200415
Wisconsin,Sawyer,601891,577722,612093,594006
Wisconsin,Shawano,1274372,1300889,1331621,1255543
Wisconsin,Sheboygan,6508920,6621515,6503641,6277392
Wisconsin,Taylor,844108,832811,840199,823094
Wisconsin,Trempealeau,1281068,1280513,1278332,1182907
Wisconsin,Vernon,1041780,1062809,1013205,983965
Wisconsin,Vilas,866826,899390,837370,810592
Wisconsin,Walworth,3904095,3977878,4026693,3908353
Wisconsin,Washburn,544705,541871,548091,547777
Wisconsin,Washington,5903218,6123235,6157756,5955195
Wisconsin,Waukesha,27088218,27785889,28533170,27181717
Wisconsin,Waupaca,1888758,1907508,1892753,1847360
Wisconsin,Waushara,569113,598249,623833,587824
Wisconsin,Winnebago,9213662,9492021,9704179,9302102
Wisconsin,Wood,3549292,3542052,3683297,3588744
Wyoming,Albany,1380841,1359501,1341209,1321232
Wyoming,Big Horn,496558,498019,502059,502426
Wyoming,Campbell,5754413,5588726,5458527,4947619
Wyoming,Carbon,1409011,1506101,1733793,1734056
Wyoming,Converse,1217731,1335649,1767039,1506663
Wyoming,Crook,294840,290151,288439,296615
Wyoming,Fremont,1705997,1688699,1607240,1537387
Wyoming,Goshen,496133,515185,491917,452666
Wyoming,Hot Springs,260244,261530,283627,263097
Wyoming,Johnson,452272,443611,440162,448887
Wyoming,Laramie,5028969,5298424,5582066,5400312
Wyoming,Lincoln,837215,838637,852156,883292
Wyoming,Natrona,5161037,5647199,5555850,4994498
Wyoming,Niobrara,138284,137946,127318,129119
Wyoming,Park,1429674,1413425,1410646,1355319
Wyoming,Platte,575293,588828,561748,500504
Wyoming,Sheridan,1273431,1297044,1288943,1283784
Wyoming,Sublette,1912025,1663612,1617641,1620688
Wyoming,Sweetwater,3718229,3582427,3677972,3278745
Wyoming,Teton,2190255,2226179,2268742,2175642
Wyoming,Uinta,937095,902526,881052,790528
Wyoming,Washakie,334616,338124,349686,336909
Wyoming,Weston,300909,315332,322576,312665
